,Node,Generator_ID,Parameter,Category,Case,Scenario,Year,Climate Year,Value,Simulation_ID,Node 1,Path,Simulation_type,Sector,Note
43,DKE1,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,6181.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
44,DKKF,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,2153.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
45,DKW1,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,27526.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
46,FI00,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,138.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
47,FR00,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,19474.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
48,GR03,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,898.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
49,IE00,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,3027.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
50,ITS1,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,809.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
51,ITSI,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,641.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
52,LT00,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,1709.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
53,LV00,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,422.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
54,NL00,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,38372.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
55,PL00,Hard coal old 1,Generation,Electricity Market,,Distributed Energy,2040,1984,0.0,DE2040-1984 Update,,,IoSN Lite,Electricity,
56,PT00,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,584.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
57,SE03,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,3238.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
58,SE04,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,1179.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
59,UK00,Offshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,91216.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
60,AL00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,3374.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
61,AT00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,42167.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
62,BA00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,6503.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
63,BE00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,30902.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
64,BG00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,16893.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
65,CH00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,4049.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
66,CY00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,2003.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
67,CZ00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,34690.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
68,DE00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,326513.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
69,DKE1,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,5129.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
70,DKW1,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,16926.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
71,EE00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,13224.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
72,ES00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,148633.0,DE2040-2007 Update,,,IoSN Lite,Electricity,Generation in Spain excludes Balearic islands
73,FI00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,66848.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
74,FR00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,277771.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
75,FR15,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,1027.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
76,GR00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,40203.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
77,GR03,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,2149.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
78,HR00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,10560.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
79,HU00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,6487.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
80,IE00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,32109.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
81,ITCN,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,879.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
82,ITCS,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,13450.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
83,ITN1,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,633.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
84,ITS1,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,34047.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
85,ITSA,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,6623.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
86,ITSI,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,10188.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
87,LT00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,10559.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
88,LUG1,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,1096.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
89,LV00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,6723.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
90,ME00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,2452.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
91,MK00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,1092.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
92,MT00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,1262.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
93,NL00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,67148.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
94,NOM1,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,9753.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
95,NON1,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,10111.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
96,NOS0,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,15375.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
97,PL00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,71663.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
98,PT00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,30855.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
99,RO00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,25890.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
100,RS00,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,14345.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
101,SE01,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,19893.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
102,SE02,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,31154.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
103,SE03,Onshore Wind,Generation,Electricity Market,,Distributed Energy,2040,2007,37754.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
