Technology,Capacity,Production
Oil_light,0.0,0.0
Oil_heavy,0.0,0.0
Coal,0.0,0.0
OCGT,12970.602429269557,1.7560774050402143e6
Lignite,0.0,0.0
Coal_bio,0.0,0.0
CCGT,4747.372166006861,1.110925569379676e7
Nuclear,0.0,0.0
w_off,8381.675098433638,3.4997608341870695e7
w_on,15707.199360145853,4.219749594133027e7
PV,15012.17982370567,1.446284424045286e7
