Generartion unit,Capacity,Production
w_off,7846.891252309711,3.276462324349757e7
CCGT,3852.4851510142057,8.620669056697596e6
w_on,13724.83726366117,3.687186693499659e7
PV,15176.928986561252,1.4621564793304382e7
OCGT,4965.073114885545,668534.8097569312
