Generation unit,Capacity,Production
w_off,7905.262589687853,3.3008352233223315e7
CCGT,3022.0801585642826,6.660110301088058e6
w_on,14632.91691106265,3.9311428970024854e7
PV,16191.617466811438,1.5599123123592107e7
OCGT,5447.80030883416,581979.199486731
