Generation unit,Capacity,Production
w_off,7901.73602121301,3.299362707854752e7
CCGT,3021.3362878748626,6.659874738746273e6
w_on,14648.478496614272,3.935323527349741e7
PV,16213.465870883154,1.5620172036454938e7
OCGT,5448.205456628644,577215.9714089144
