Generation unit,Capacity,Production
w_off,8022.271917569951,3.3496923620382886e7
CCGT,3649.9523247753777,8.035736963604205e6
w_on,14150.301699165737,3.801487998135413e7
PV,15876.953434120565,1.5295973484677212e7
OCGT,4691.481165055441,591110.9855843663
