Generation unit,Capacity,Production
w_off,7936.977200908977,3.3140776304688465e7
CCGT,3705.8435908781203,8.198014973927273e6
w_on,14085.672877712752,3.784125422106265e7
PV,15768.25757523315,1.519125509633304e7
OCGT,4925.717495190595,596177.5461792682
