Timestep,Lambda value FC Submodel 1
484,14.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,14.0
528,14.0
529,14.0
530,14.0
531,14.0
532,14.0
533,14.0
534,14.5
535,14.5
536,14.5
537,14.5
538,14.5
539,14.5
540,14.5
541,14.5
542,14.0
543,14.5
544,14.5
545,14.5
546,14.5
547,14.5
548,14.5
549,14.5
550,14.5
551,14.5
552,14.5
553,14.5
554,14.5
555,14.5
556,14.5
557,96.0636
558,96.26363637607271
559,102.0
560,131.5625
561,131.5625
562,102.0
563,102.0
564,102.0
565,102.0
566,102.0
567,131.5625
568,131.5625
569,131.7625000171
570,131.5625
571,131.5625
572,96.4636
573,96.26363637607271
574,96.26363637607271
575,96.4636
576,96.26363637607271
577,96.26363637607271
578,96.26363637607271
579,96.26363637607271
580,96.4636
581,101.5
582,102.0
583,131.5625
584,131.5625
585,131.5625
586,131.5625
587,131.5625
588,131.5625
589,131.5625
590,131.5625
591,102.0
592,102.0
593,125.92592592592592
594,102.0
595,101.5
596,102.0
597,102.0
598,96.4636
599,96.26363637607271
600,96.26363637607271
601,96.0636
602,78.0
603,78.0
604,78.0
605,63.18000000000001
606,78.0
607,78.0
608,14.5
609,14.5
610,14.5
611,14.5
612,14.5
613,14.5
614,96.0636
615,96.26363637607271
616,96.26363637607271
617,101.5
618,101.5
619,101.5
620,96.4636
621,96.26363637607271
622,96.26363637607271
623,96.26363637607271
624,96.0636
625,96.26363637607271
626,96.0636
627,96.0636
628,96.26363637607271
629,96.26363637607271
630,96.4636
631,101.5
632,102.0
633,102.0
634,101.5
635,101.5
636,96.4636
637,96.26363637607271
638,96.26363637607271
639,101.5
640,101.5
641,119.09086419753086
642,119.09086419753086
643,101.5
644,101.5
645,96.4636
646,101.5
647,96.4636
648,96.4636
649,96.4636
650,96.4636
651,96.4636
652,96.4636
653,96.4636
654,101.5
655,102.0
656,102.0
657,102.0
658,102.0
659,102.0
660,102.0
661,102.0
662,102.0
663,102.0
664,131.5625
665,131.7625000171
666,131.7625000171
667,131.7625000171
668,131.7625000171
669,131.7625000171
670,131.7625000171
671,131.5625
672,131.5625
673,131.5625
674,102.0
675,102.0
676,102.0
677,102.0
678,102.0
679,130.4125
680,102.0
681,102.0
682,125.92592592592592
683,102.0
684,102.0
685,102.0
686,125.92592592592592
687,102.0
688,125.92592592592592
689,131.5625
690,102.0
691,101.5
692,96.4636
693,96.4636
694,96.4636
695,102.0
696,96.6636
697,96.4636
698,96.4636
699,96.4636
700,96.4636
701,96.4636
702,102.0
703,106.5
704,119.09086419753086
705,102.0
706,96.4636
707,96.26363637607271
708,96.2636
709,96.2636
710,96.26363637607271
711,96.26363637607271
712,101.5
713,102.0
714,102.0
715,96.4636
716,96.26363637607271
717,96.26363637607271
718,96.26363637607271
719,96.2636
720,96.0636
721,96.0636
722,96.0636
723,96.0636
724,96.0636
725,96.0636
726,96.26363637607271
727,96.26363637607271
728,101.5
729,96.26363637607271
730,96.0636
731,37.0
732,37.0
733,37.0
734,37.0
735,37.0
736,96.0636
737,96.2636
738,96.0636
739,96.0636
740,96.0636
741,77.81151599999998
742,96.0636
743,96.0636
744,37.0
745,37.0
746,37.0
747,37.0
748,30.0
749,30.0
750,37.0
751,45.5
752,45.5
753,37.0
754,17.0
755,14.0
756,0.0
757,0.0
758,0.0
759,0.0
760,14.0
761,17.0
762,14.0
763,14.0
764,0.0
765,0.0
766,11.34
767,11.34
768,11.34
769,14.0
770,14.0
771,14.0
772,14.0
773,14.0
774,36.5
775,37.0
776,37.0
777,21.5
778,14.0
779,14.0
780,14.0
781,29.5
782,37.0
783,37.0
784,96.0636
785,96.26363637607271
786,96.26363637607271
787,96.26363637607271
788,96.26363637607271
789,96.26363637607271
790,96.4636
791,106.5
792,106.5
793,102.0
794,101.5
795,102.0
796,102.0
797,102.0
798,102.0
799,130.4125
800,130.6125
801,130.4125
802,102.0
803,102.0
804,101.5
805,102.0
806,102.0
807,131.5625
808,130.4125
809,102.0
810,130.4125
811,131.5625
812,130.4125
813,101.5
814,101.5
815,102.0
816,131.5625
817,102.0
818,102.0
819,102.0
820,130.6125
821,130.6125
822,131.5625
823,130.6125
824,130.6125
825,102.0
826,101.5
827,101.5
828,101.5
829,101.5
830,101.5
831,102.0
832,131.7625000171
833,147.0
834,147.0
835,147.0
836,147.0
837,146.5
838,146.5
839,131.7625000171
840,102.0
841,96.4636
842,96.26363637607271
843,96.26363637607271
844,96.26363637607271
845,96.26363637607271
846,96.4636
847,101.5
848,101.5
849,101.5
850,101.5
851,101.5
852,101.5
853,101.5
854,101.5
855,101.5
856,131.7625
857,147.0
858,146.5
859,146.5
860,131.7625000171
861,131.7625000171
862,131.7625000171
863,146.5
864,102.0
865,96.6636
866,96.4636
867,96.4636
868,96.4636
869,96.4636
870,102.0
871,119.33777777777777
872,119.0
873,102.0
874,101.5
875,96.6636
876,96.6636
877,101.5
878,101.5
879,102.0
880,131.7625000171
881,147.0
882,8000.0
883,147.0
884,147.0
