Generation unit,Capacity,Production
w_off,6448.944368178971,2.6927508709830012e7
CCGT,2236.985718635803,5.211600700799868e6
w_on,16452.62276357989,4.420008089105695e7
PV,17143.59769261894,1.6516267861233901e7
OCGT,1060.1505665444706,93784.77171614562
