Generation unit,Capacity,Production
w_off,6712.489442617634,2.8027938777485665e7
CCGT,2485.2809727193207,5.666942017656255e6
w_on,16441.607404796654,4.4170488056147896e7
PV,18085.56995528407,1.7423770853719983e7
OCGT,633.8354959021613,58398.5724168671
