Technology,Capacity,Production
Oil_light,0.0,0.0
Oil_heavy,0.0,0.0
Coal,0.0,0.0
OCGT,5520.294126866492,644801.8085742727
Lignite,0.0,0.0
Coal_bio,0.0,0.0
CCGT,2932.7560002749733,6.838863317874129e6
Nuclear,0.0,0.0
w_off,7913.901932282344,3.3044425729858253e7
w_on,14768.945932277566,3.967687184363997e7
PV,16372.170550928628,1.5773069290197134e7
