Generation unit,Capacity,Production
w_off,7672.641804456208,3.2037046254633013e7
CCGT,3741.412967691873,8.242651040666502e6
w_on,14723.811023800556,3.9555616610698596e7
PV,16001.297642901787,1.541576760817719e7
OCGT,6759.141970486744,781284.4401985327
