Timestep,Real trade demand focus country
1,-6100.0
2,-6100.0
3,-6100.0
4,-6100.0
5,-4600.0
6,-4400.0
7,-4000.0
8,-4800.0
9,-5100.0
10,-5100.0
11,-6100.0
12,-6100.0
13,-7100.0
14,-7100.0
15,-7100.0
16,-7100.0
17,-6341.814479527344
18,-6570.812315597991
19,-7100.0
20,-7100.0
21,-6100.0
22,-6300.0
23,-7100.0
24,-7100.0
25,-6900.0
26,-6100.0
27,-6100.0
28,-6100.0
29,-4029.6516041607683
30,-2534.8067918414563
31,-2127.6940178360082
32,-1153.147851092419
33,-858.317928320787
34,-820.8007112783373
35,-71.7832064728932
36,-706.4146672618431
37,-166.03868485925705
38,-231.58930137233347
39,-953.547558780833
40,-1766.3767574865778
41,-3012.547615456415
42,-4126.549910481059
43,-5579.581023424995
44,-6347.335480497353
45,-6961.88514123866
46,-6277.008177570912
47,-6746.408074972795
48,-7100.0
49,-7100.0
50,-5000.0
51,-3200.0
52,-3300.0
53,-2700.0
54,-2700.0
55,-4300.0
56,-6100.0
57,-6100.0
58,-6100.0
59,-6100.0
60,-6100.0
61,-5600.0
62,-5505.114360960799
63,-5033.806325601083
64,-4565.595593782407
65,-3661.329598332084
66,-3441.5933924414185
67,-3796.8208519963446
68,-4812.072721516521
69,-4700.0
70,-3800.0
71,-6100.0
72,-6100.0
73,-6100.0
74,-5900.0
75,-5100.0
76,-3700.0
77,-3100.0
78,-2700.0
79,-3600.0
80,-4600.0
81,-4800.0
82,-4100.0
83,-4300.0
84,-4700.0
85,-5900.0
86,-6100.0
87,-6100.0
88,-6100.0
89,-6100.0
90,-6100.0
91,-6100.0
92,-6100.0
93,-6100.0
94,-6100.0
95,-6000.0
96,-5500.0
97,-3700.0
98,-3700.0
99,-3700.0
100,-5500.0
101,-5700.0
102,-5400.0
103,-2700.0
104,-5100.0
105,-3300.0
106,-5100.0
107,-5700.0
108,-6100.0
109,-6100.0
110,-6100.0
111,-6120.447974046487
112,-5746.986198778646
113,-6608.718832492135
114,-6484.067107477151
115,-6660.949068104259
116,-6339.718954798316
117,-6088.753743365494
118,-5696.000171612257
119,-5676.540790297946
120,-4900.0
121,-3700.0
122,-3700.0
123,-3700.0
124,-3700.0
125,-3700.0
126,-3700.0
127,-5600.0
128,-6100.0
129,-6100.0
130,-5800.0
131,-5100.0
132,-4800.0
133,-5200.0
134,-6000.0
135,-6525.391584420788
136,-2396.7951809659794
137,451.6389131979631
138,2235.957384856658
139,1404.3762019426376
140,-192.27724517746628
141,-3826.0173119520905
142,-4805.96307322344
143,-5409.530005170063
144,-6737.850090265692
145,-7100.0
146,-3700.0
147,-3500.0
148,-2700.0
